﻿Dato,Wind,Temp,Sun,MWh,Flow
13-10-2020 00:00,1.63,8.25,336,221952.73,7473.48
14-10-2020 00:00,4.54,7.13,279,239141.89,7952.11
15-10-2020 00:00,3,6.75,130,252246.72,8246.13
16-10-2020 00:00,1.67,6.29,360,254775,8331.81
17-10-2020 00:00,2.83,8,418,235346.86,7858.53
18-10-2020 00:00,3.5,6.58,400,222778.27,7533.43
19-10-2020 00:00,1.63,5.96,266,270293.21,8651.48
20-10-2020 00:00,3.58,8.42,2,264763.03,8312.01
21-10-2020 00:00,4.25,12.17,1,300826.33,7343.5
22-10-2020 00:00,6.75,12.25,92,207470.93,6830.98
23-10-2020 00:00,3.33,10.42,115,220683.64,7017.64
24-10-2020 00:00,3.79,10.71,251,204154.01,6570
25-10-2020 00:00,4.63,11.29,0,214409.12,6900.87
26-10-2020 00:00,3.38,8.96,23,240217.38,7435.88
27-10-2020 00:00,4.71,8.29,129,259971.26,8039.61
28-10-2020 00:00,4.17,8.75,234,259595.66,8095.25
29-10-2020 00:00,2.42,8.17,330,253195.1,7929.63
30-10-2020 00:00,2.79,10.5,0,242485.64,7645.98
31-10-2020 00:00,2.54,10.71,103,215913.53,6993.87
01-11-2020 00:00,4.71,10.92,98,217901.6,6990.54
02-11-2020 00:00,8.75,13.29,0,207120.15,6852.9
03-11-2020 00:00,5.04,8.79,287,247977.43,8038.74
04-11-2020 00:00,4.71,7.5,303,273150.63,8608.39
05-11-2020 00:00,5.54,9.58,0,272887,8400.19
06-11-2020 00:00,3.25,10.96,229,230110.05,7363.04
07-11-2020 00:00,1.29,6.92,74,238392.62,7509.28
08-11-2020 00:00,1.5,5.17,425,279266.02,8636.91
09-11-2020 00:00,3.38,6.21,2,297575.26,9091.82
10-11-2020 00:00,3,5.63,0,312135.46,9436.55
11-11-2020 00:00,2.13,4.54,0,326863.09,9883.41
12-11-2020 00:00,3.46,7.17,0,304839.65,9308.84
13-11-2020 00:00,2.63,7.33,125,295299.37,9037.96
14-11-2020 00:00,2.42,7.33,140,280820.22,8666.3
15-11-2020 00:00,4.46,10.96,174,234339.04,7474.14
16-11-2020 00:00,4.29,8.83,94,264470,8138.8
17-11-2020 00:00,5.33,10.25,0,267187,8187.9
18-11-2020 00:00,7.08,10.88,0,258800,7980.86
19-11-2020 00:00,7.04,5.63,146,307319,9294.06
20-11-2020 00:00,2.46,2.75,252,359398,10950.04
21-11-2020 00:00,6.79,8.04,0,310704,9415.19
22-11-2020 00:00,5.46,7.04,233,301766,9281.08
23-11-2020 00:00,4.13,6.33,240,323097,9778.65
24-11-2020 00:00,5.17,8.83,0,299100,9091.06
25-11-2020 00:00,3.38,6.46,11,311354,9395.62
26-11-2020 00:00,2.58,6.04,284,295083,9033.01
27-11-2020 00:00,0.25,1.63,200,360479,10803.61
28-11-2020 00:00,1.96,0.29,35,389356,11706
29-11-2020 00:00,1.04,0.25,0,392735,11829.63
30-11-2020 00:00,3.21,0.92,0,413281,12311.54
01-12-2020 00:00,1.58,3.29,8,386094,11543.82
02-12-2020 00:00,1.58,2.92,1,373560,11132.33
03-12-2020 00:00,4.83,1.17,2,403007,11976.97
04-12-2020 00:00,5.25,1.71,0,412276,12287.67
05-12-2020 00:00,3.71,3.04,1,378409,11385.63
06-12-2020 00:00,3,3.75,0,371344,11230.76
07-12-2020 00:00,5.13,5.5,0,354912,10687
08-12-2020 00:00,2.08,4.13,60,363878,10880.48
09-12-2020 00:00,2.38,3.38,0,372783,11201.95
10-12-2020 00:00,2.54,2.54,0,381217,11437.29
11-12-2020 00:00,5.08,1.46,0,408042,12195.01
12-12-2020 00:00,4.38,2.5,0,389502,11646.73
13-12-2020 00:00,3.67,2.63,6,385925,11626.15
14-12-2020 00:00,4.63,5.63,0,380704,11535.46
15-12-2020 00:00,2.46,7,0,334147,10388.13
16-12-2020 00:00,2.67,5.96,27,341498,10363.48
17-12-2020 00:00,3.96,6.71,2,336846,10281.87
18-12-2020 00:00,4.5,6.5,8,338686,10502.16
19-12-2020 00:00,3.54,5,301,327336,10289.74
20-12-2020 00:00,3.71,7.38,4,310498,9868.93
21-12-2020 00:00,4.08,5.75,89,331848,10434.65
22-12-2020 00:00,4.5,6.21,10,329009,10213.27
23-12-2020 00:00,0.83,2.38,3,366179,10961.6
24-12-2020 00:00,2.88,0.71,112,405706,11955.27
25-12-2020 00:00,1.25,-1.38,336,433432,13113.28
26-12-2020 00:00,4.83,3.08,0,409927,12215.17
27-12-2020 00:00,8.38,2.96,0,401230,11760.42
